total_expense;age;sex;pdv;client;campaing;purchase_date
237;8;1;2;92169;8;2022-10-16
363;30;0;3;57794;2;2019-12-06
888;18;1;5;3676;1;2019-08-31
188;1;0;2;93612;8;2020-10-14
602;22;0;5;55427;1;2019-09-20
899;10;0;4;2571;9;2020-09-23
698;10;1;5;63932;4;2022-11-03
707;21;0;5;65724;7;2019-07-25
232;11;1;2;23460;4;2020-12-01
144;2;0;0;33106;7;2019-07-02
905;5;1;5;27795;3;2019-07-05
99;3;0;2;33052;4;2019-10-11
350;36;1;1;33370;7;2021-03-16
316;12;1;1;31932;10;2018-12-06
495;5;0;5;28926;7;2018-03-13
177;38;0;1;47911;7;2019-03-29
692;36;0;2;7915;5;2020-05-26
132;23;1;0;7296;7;2019-01-05
981;45;1;0;88268;3;2020-12-20
231;6;1;3;33519;9;2020-03-20
121;36;1;1;20364;4;2021-04-13
194;5;0;4;60119;6;2021-11-23
107;19;0;2;16904;10;2020-09-21
495;9;1;2;68000;1;2022-12-07
592;16;1;2;41918;8;2019-06-14
700;28;1;4;48527;2;2021-11-18
894;0;0;1;754;1;2022-02-09
162;49;1;1;83551;3;2018-09-05
724;44;1;1;65401;9;2018-08-06
461;14;0;1;48230;3;2019-11-04
723;14;1;0;84239;10;2022-03-02
216;33;0;5;97534;3;2018-02-16
561;11;1;3;42814;7;2020-01-01
653;15;1;5;63078;8;2018-12-13
924;4;1;4;26213;6;2022-07-13
639;39;0;3;26936;3;2021-07-06
933;8;0;0;25892;6;2019-05-20
955;0;0;5;16341;4;2022-10-31
493;2;1;0;76291;8;2021-09-12
276;35;1;4;76854;1;2019-03-11
786;28;0;1;14753;7;2020-12-31
189;28;0;0;47753;9;2018-04-27
117;34;1;5;83761;10;2022-05-23
362;43;1;3;20407;8;2020-09-30
86;43;0;2;40891;8;2020-04-02
228;23;0;3;8552;6;2019-05-29
805;10;1;3;20217;10;2022-03-02
866;19;1;3;7894;4;2018-02-13
985;30;0;0;72905;8;2019-12-11
198;49;1;0;87086;3;2021-01-14
139;5;0;1;73866;1;2022-06-11
895;45;1;5;38073;6;2022-11-18
732;19;0;3;30602;6;2019-11-28
361;38;0;3;40460;2;2019-10-29
308;0;0;2;79605;8;2021-01-13
823;21;0;3;73241;7;2020-08-12
742;0;0;5;13141;3;2020-06-18
413;32;1;2;60158;2;2019-05-14
934;48;1;3;51038;5;2022-07-12
203;11;1;4;2141;6;2019-03-04
566;16;0;2;9034;3;2022-12-26
448;3;1;3;14736;4;2022-06-30
223;9;1;0;71348;5;2018-11-05
683;9;1;2;72162;1;2019-08-18
606;11;0;1;48597;9;2019-08-31
347;32;0;2;91603;3;2021-07-03
899;44;1;2;16064;8;2020-07-03
481;6;0;4;9743;10;2020-02-06
190;41;1;1;8684;7;2021-10-03
580;26;1;3;77828;9;2021-06-15
905;29;1;2;57856;8;2019-05-23
230;48;1;4;66667;10;2020-05-11
360;12;1;1;25936;4;2021-07-24
57;11;1;3;68700;9;2022-03-30
327;17;1;3;62303;2;2022-02-13
546;30;0;1;47883;4;2019-07-09
364;20;1;5;26074;4;2022-12-09
884;47;0;5;82134;2;2018-12-17
647;37;0;1;49775;7;2021-08-30
273;15;0;4;77851;7;2018-07-27
911;26;1;1;96824;1;2022-02-12
783;42;1;0;191;3;2019-03-27
417;47;0;4;91359;5;2018-05-31
677;29;1;0;31802;5;2022-08-25
982;7;0;4;19121;9;2020-01-22
289;48;0;2;93341;8;2018-09-27
888;42;0;1;12884;8;2021-12-23
303;40;0;2;61839;10;2022-03-30
944;7;0;0;8738;8;2022-11-30
866;43;0;2;43797;5;2022-05-15
645;38;0;5;24624;10;2021-05-07
588;46;0;2;17021;10;2018-12-20
954;1;0;1;83608;1;2022-07-11
474;48;0;3;80950;2;2021-01-16
771;33;1;3;20204;7;2022-12-11
959;13;0;5;90339;8;2022-04-04
137;1;1;4;70370;5;2020-03-22
616;35;0;1;59465;7;2022-12-25
733;21;1;3;76586;2;2020-07-22
245;33;0;2;88750;3;2019-08-12
522;29;1;2;78764;3;2018-11-01
780;6;1;5;34645;2;2020-08-27
411;36;0;0;5448;9;2022-12-20
148;25;1;0;30697;6;2021-05-23
559;34;0;1;24492;3;2020-11-19
989;28;0;4;67881;9;2022-06-29
299;23;0;3;52892;3;2019-07-29
856;36;1;1;91206;2;2019-05-26
740;14;1;0;1841;2;2019-09-12
267;19;0;1;26939;8;2020-09-21
710;13;1;0;86587;6;2018-10-20
134;8;1;5;56941;6;2020-11-26
224;16;1;0;75661;3;2020-11-30
876;0;1;4;35620;5;2022-01-15
919;19;1;1;16347;3;2018-11-29
216;47;0;1;7162;7;2019-06-29
151;26;0;1;7496;8;2018-06-24
944;3;1;2;70475;8;2018-10-03
632;13;1;0;25709;9;2022-06-09
107;48;1;1;81411;4;2018-12-12
883;50;0;2;26971;8;2021-01-15
760;14;1;5;85572;10;2019-01-25
803;44;1;4;52618;3;2022-01-16
77;0;1;5;68061;4;2020-03-01
236;4;0;5;49163;10;2020-09-28
293;24;0;5;1448;8;2018-04-26
390;13;1;4;46489;1;2023-01-01
251;13;0;3;99991;5;2019-10-30
819;45;0;2;62825;5;2020-09-27
440;29;0;1;30123;1;2019-06-06
139;3;0;1;85401;10;2021-12-04
139;20;1;4;64251;3;2018-07-14
312;22;1;3;86488;8;2021-06-22
186;6;1;3;63862;4;2022-09-11
709;45;1;0;94666;4;2021-05-16
226;3;1;0;20416;5;2022-11-13
729;28;0;5;57074;1;2018-03-14
330;4;0;2;8640;2;2022-05-20
871;37;0;1;37848;1;2018-08-31
173;24;0;3;44220;6;2020-08-15
609;30;1;4;70583;7;2018-05-26
822;16;0;2;91670;5;2021-11-16
239;26;1;2;54364;8;2019-07-13
585;27;0;3;59074;7;2021-06-04
519;23;0;0;62469;8;2022-08-12
522;15;1;4;26732;2;2020-09-03
403;12;1;5;84369;2;2022-02-03
339;13;1;5;37941;7;2020-11-22
712;47;1;4;67425;3;2022-11-14
972;19;1;4;87677;8;2021-11-14
575;24;1;4;16725;2;2022-05-24
179;10;0;0;38968;8;2018-08-01
880;21;0;0;90155;1;2021-06-24
224;24;0;1;22493;5;2022-05-09
360;33;1;1;99798;8;2022-07-31
509;35;1;5;19056;10;2019-12-07
445;12;0;1;73755;10;2019-09-24
934;1;1;4;31747;4;2020-12-10
779;5;0;2;57773;7;2021-05-26
113;11;1;4;63254;8;2020-05-11
691;4;1;2;40336;7;2019-09-17
173;15;1;0;53645;7;2020-07-11
187;27;0;2;19493;4;2022-09-16
852;25;1;2;85038;4;2018-03-13
187;33;1;2;56610;1;2019-10-12
915;33;1;2;14970;2;2021-11-15
68;17;0;0;99206;9;2020-04-18
698;0;0;4;63045;3;2021-11-17
956;4;0;5;13673;5;2019-05-05
943;3;1;1;47881;2;2021-04-09
960;16;0;5;87991;7;2020-12-07
826;2;1;4;5411;2;2021-04-11
95;2;0;3;11740;1;2018-07-16
736;43;1;1;43424;7;2020-12-14
581;2;1;5;93844;5;2020-11-22
629;15;1;5;76899;1;2018-12-23
571;0;1;0;36875;8;2022-12-23
153;33;0;2;10353;4;2019-01-15
390;44;0;0;36210;9;2022-03-25
905;22;0;4;98602;10;2021-11-07
346;4;0;1;59004;8;2018-06-21
701;8;1;1;50856;3;2022-01-14
975;7;1;2;99495;6;2022-09-24
193;39;0;3;93265;3;2018-04-09
405;48;0;4;57226;10;2022-12-04
300;18;1;5;73232;2;2020-03-12
701;38;1;5;19843;9;2019-03-13
649;34;0;0;27667;4;2019-01-31
466;5;1;1;20618;2;2022-12-06
591;11;1;5;18077;2;2021-07-01
393;46;0;3;11420;1;2019-03-03
593;50;0;2;78862;10;2021-08-13
212;7;0;3;97561;2;2021-09-11
183;26;0;4;17924;8;2018-11-09
607;19;1;0;57736;6;2018-12-24
117;35;0;4;2948;7;2021-04-01
124;1;0;1;91348;9;2019-09-19
601;10;1;0;18000;5;2021-02-20
724;26;0;4;70148;4;2018-07-21
191;46;0;2;39124;6;2022-07-21
915;28;1;3;98193;6;2021-09-07
441;10;0;2;28795;3;2022-11-24
561;15;1;2;18433;8;2020-04-08
297;35;1;1;19490;6;2021-03-16
597;50;0;5;67706;9;2021-01-03
296;29;1;5;40947;1;2018-03-11
960;40;1;5;41115;5;2022-07-10
680;14;1;4;49172;5;2020-05-11
96;33;0;4;38057;8;2018-02-18
349;24;1;3;71663;1;2018-05-20
929;21;0;0;80467;10;2018-04-04
320;20;0;5;67573;7;2022-07-19
718;4;1;5;93592;10;2018-10-23
822;46;0;5;53123;1;2020-09-24
928;29;0;5;37948;9;2019-11-12
472;21;1;1;86602;1;2020-02-22
136;37;1;4;81167;3;2021-07-20
125;32;0;2;12507;5;2020-06-20
486;34;0;1;57740;2;2021-07-19
583;23;1;3;86439;9;2019-06-20
673;27;0;5;5290;4;2019-05-01
421;12;0;0;17561;7;2021-10-22
898;6;0;3;33679;4;2021-07-02
345;33;1;2;7216;5;2020-02-26
534;29;1;2;14671;10;2020-09-24
425;15;0;3;2349;3;2021-05-17
625;11;0;2;94498;10;2022-07-07
641;27;1;3;35177;7;2020-01-15
293;5;1;2;37103;2;2021-09-22
287;11;1;5;65749;8;2022-10-21
780;42;1;2;61566;8;2022-09-28
555;16;1;0;42049;3;2022-05-14
795;33;1;5;61362;5;2020-12-27
938;41;1;5;29348;6;2022-05-28
409;13;0;5;22317;1;2019-09-24
338;49;0;3;96478;7;2021-05-24
947;3;1;0;836;1;2018-10-05
407;11;0;5;38210;1;2019-11-21
66;13;1;1;76134;6;2019-12-17
388;27;0;3;28574;10;2019-06-30
643;18;1;0;94475;2;2020-10-31
315;18;1;3;99554;10;2018-06-10
317;19;1;3;93650;2;2018-11-16
222;8;1;3;22493;3;2022-02-14
787;47;0;0;74617;2;2018-02-20
827;8;1;0;38895;7;2020-06-21
588;7;0;3;46008;10;2018-12-31
475;22;1;4;16875;10;2022-04-06
801;1;1;5;15936;9;2019-01-04
196;6;0;3;21014;10;2022-09-07
351;35;0;2;47427;7;2021-05-07
623;22;1;4;36796;2;2022-09-20
732;2;1;0;1275;9;2019-03-01
650;11;0;3;63615;10;2018-08-31
665;34;0;1;76157;5;2019-08-02
323;45;1;0;66448;6;2022-11-17
320;44;1;0;62891;8;2021-12-01
996;45;1;1;4620;6;2020-11-02
924;11;0;5;77455;4;2021-06-02
528;50;1;0;84233;6;2020-10-28
918;27;1;0;82305;2;2019-02-12
162;48;0;4;94101;6;2021-12-28
67;35;0;0;64962;4;2020-05-24
688;32;0;0;17878;3;2020-01-09
718;46;1;4;55669;9;2019-07-03
662;4;1;5;95686;6;2019-01-23
76;26;1;2;28102;1;2019-09-05
655;38;0;0;35727;6;2020-02-02
383;27;0;5;40252;4;2018-10-16
101;48;1;1;33228;1;2019-01-04
851;18;1;3;75232;4;2021-03-08
226;9;1;5;13997;9;2021-09-06
896;45;0;4;18148;6;2021-06-20
974;4;1;2;89852;5;2019-02-06
309;7;0;1;94653;9;2022-10-02
740;38;1;5;45320;6;2019-11-16
353;23;0;5;73772;10;2021-10-22
963;31;0;3;85500;7;2022-04-07
432;39;0;0;94827;8;2018-09-16
868;30;0;5;23760;1;2022-02-24
239;8;0;5;48437;6;2022-03-18
303;50;1;2;28304;5;2018-10-27
815;10;1;3;53111;5;2020-05-26
126;38;0;2;19745;3;2019-08-08
702;39;0;0;58902;7;2022-09-18
701;29;0;4;12726;6;2018-02-09
935;34;1;3;72544;7;2021-08-31
938;23;1;1;64450;4;2022-01-12
368;4;1;5;34846;10;2019-09-10
880;17;1;0;27450;1;2020-10-11
372;12;1;3;95595;3;2021-06-30
273;46;1;3;89798;10;2021-02-18
811;42;1;5;92923;3;2021-12-15
278;12;0;1;9295;9;2019-09-15
592;20;0;4;99889;4;2019-06-10
399;37;0;3;54001;1;2022-11-16
915;0;0;5;33198;4;2019-06-27
775;43;0;1;36253;6;2020-06-16
971;18;1;0;65461;5;2021-01-29
915;1;1;3;43938;7;2021-03-20
892;21;0;5;24920;8;2021-07-18
829;8;1;3;39162;6;2021-09-22
754;20;1;3;59108;4;2019-04-09
601;9;0;3;39517;6;2022-05-01
221;15;1;5;82661;6;2020-05-07
228;29;1;4;13790;10;2018-03-03
240;42;1;1;86803;7;2020-11-25
871;14;0;0;91209;10;2022-06-25
429;28;0;0;96492;6;2018-11-03
791;27;0;4;92404;1;2018-07-16
999;9;0;5;24253;9;2020-05-09
462;48;1;4;29135;1;2018-11-22
408;6;0;1;1410;3;2022-05-02
140;10;1;1;69465;8;2021-03-07
746;29;0;2;7571;5;2022-01-17
699;0;0;5;50724;4;2021-08-21
351;42;1;4;67595;9;2020-01-23
202;40;0;2;93427;5;2018-02-20
670;50;1;2;40830;5;2018-02-28
373;0;0;4;44634;1;2021-05-18
220;48;0;2;59227;4;2019-03-21
875;45;0;3;54581;7;2022-02-07
670;34;1;3;8243;1;2020-01-07
410;44;1;1;36700;5;2021-09-28
984;38;0;3;94572;10;2021-09-26
604;28;0;5;91182;8;2021-06-14
377;0;0;2;883;3;2021-04-08
567;45;1;3;43680;3;2020-04-20
335;35;1;2;15697;2;2022-02-01
798;0;1;3;72325;9;2022-02-06
565;35;1;1;50984;4;2019-04-06
650;20;1;2;79744;8;2020-08-13
865;16;1;4;58273;5;2018-03-29
744;40;0;0;67569;9;2022-11-20
819;44;0;2;1750;4;2021-06-27
159;40;0;1;88786;9;2018-05-17
457;11;1;2;54174;2;2021-09-05
573;29;1;2;15044;6;2018-11-15
735;14;1;2;45689;10;2018-02-22
66;20;1;0;87995;10;2022-10-01
513;1;0;2;73559;5;2021-09-25
470;50;1;2;83744;10;2021-10-16
561;12;1;1;26323;9;2021-08-13
346;2;1;1;40902;2;2018-06-28
61;2;0;4;75389;9;2018-02-26
351;10;0;2;71705;1;2019-05-20
452;11;1;0;90802;2;2021-08-16
933;49;1;0;30908;8;2019-06-25
129;20;0;5;27598;5;2021-08-16
598;25;1;4;86553;3;2019-04-25
929;1;1;3;70640;10;2022-08-23
929;21;1;1;3638;6;2019-02-12
841;3;0;5;9894;6;2022-01-19
705;25;0;2;90568;2;2021-08-29
798;7;0;2;87505;2;2018-05-22
81;23;0;5;17410;8;2018-05-04
805;43;0;1;84485;5;2020-06-25
620;35;0;1;77737;10;2018-04-10
848;28;1;0;5366;4;2020-12-12
71;42;1;3;70114;4;2022-03-05
743;28;1;0;88127;10;2019-07-19
578;29;0;4;26655;2;2019-12-13
900;4;0;3;7123;7;2021-09-06
382;33;0;0;17154;9;2020-09-12
968;24;1;3;87576;9;2020-01-11
852;34;0;4;72525;1;2022-01-07
112;3;0;1;76332;5;2023-01-10
94;12;1;0;90703;1;2020-12-16
104;48;0;2;10641;7;2022-04-27
528;24;0;1;89126;5;2020-11-19
469;38;0;3;47602;1;2018-03-18
901;30;1;2;29812;7;2022-02-11
324;13;1;2;39538;8;2022-07-28
303;29;0;3;77588;3;2019-09-09
204;26;0;4;35702;3;2019-06-01
956;11;1;1;4893;7;2020-04-23
744;25;0;4;92737;3;2020-02-18
472;12;0;1;46196;5;2019-12-27
987;44;0;2;52705;2;2018-06-01
58;32;0;0;75479;1;2021-03-22
997;40;1;5;25908;5;2020-02-20
514;39;1;1;80990;9;2022-09-29
732;39;0;2;25656;6;2021-03-02
362;2;0;2;52843;5;2020-05-24
619;41;0;4;66755;2;2022-09-14
984;27;0;0;94539;1;2022-07-26
730;33;0;2;22868;4;2021-08-05
959;46;1;0;58430;4;2018-11-12
261;42;1;5;85028;5;2022-10-08
552;40;1;5;37231;5;2022-11-08
584;18;1;3;55179;3;2020-03-31
863;28;0;3;46829;1;2021-04-19
852;21;1;2;78847;5;2021-01-28
317;39;1;3;26588;2;2021-06-07
254;34;1;1;73987;4;2020-04-17
449;34;1;0;69455;1;2020-03-01
619;17;1;1;33599;9;2021-09-21
203;13;1;1;73764;10;2021-10-02
195;19;0;2;19327;6;2020-11-23
256;4;1;5;49489;6;2018-04-24
922;11;0;4;57049;1;2021-02-01
775;32;1;5;95857;3;2021-01-08
370;27;1;4;74435;8;2018-02-22
201;14;1;3;25045;8;2019-09-03
341;14;1;1;59736;5;2018-10-02
926;23;1;2;40150;3;2021-09-06
576;11;0;5;59361;6;2022-05-31
188;29;0;0;36911;8;2020-09-08
243;43;1;2;68135;7;2021-06-04
880;19;0;0;33096;5;2021-01-30
792;41;0;5;967;7;2018-06-15
372;17;1;3;11280;7;2021-04-03
225;22;0;4;60159;4;2021-03-21
576;38;1;5;36049;5;2020-03-31
314;36;1;5;58498;1;2019-01-01
892;44;1;2;30419;9;2019-12-03
474;7;0;1;67803;9;2022-06-20
506;3;0;1;35520;1;2019-02-06
159;43;1;2;35715;3;2018-03-03
620;46;1;4;92359;2;2019-11-16
329;25;1;0;63501;1;2022-11-01
155;39;0;0;12904;9;2018-12-22
164;38;0;3;13747;10;2021-01-08
135;30;0;4;42361;1;2022-04-11
332;8;0;4;52744;9;2021-11-21
636;45;0;2;25804;4;2022-04-22
934;1;1;1;38983;7;2020-05-06
934;35;1;1;66142;6;2021-06-28
153;13;1;4;39668;7;2018-11-06
838;7;1;1;86463;6;2021-12-11
791;34;1;5;85679;8;2018-12-03
393;45;0;2;99206;6;2022-11-04
892;40;0;2;45033;5;2022-01-26
649;7;0;5;60147;6;2022-06-21
341;25;0;2;20197;7;2022-03-02
107;40;1;2;5409;3;2020-04-01
686;35;1;2;84749;9;2020-11-17
266;15;0;5;77979;6;2020-01-05
438;23;1;0;4074;5;2022-06-23
920;44;0;0;22851;8;2022-06-24
321;9;0;0;4407;3;2019-04-06
611;2;1;5;13716;2;2018-12-18
394;31;1;0;52340;6;2020-01-21
840;38;1;4;73169;1;2019-04-10
795;48;0;4;21615;4;2021-08-25
416;46;0;2;91626;10;2022-09-13
199;44;1;5;40596;4;2021-04-19
433;47;1;5;42822;6;2019-10-12
901;37;1;0;83643;9;2020-05-16
268;24;0;4;6948;9;2022-05-31
334;15;0;3;39306;5;2019-04-07
899;4;1;4;61334;9;2020-02-07
286;5;0;4;42799;2;2022-01-11
342;38;0;5;23881;5;2022-01-14
604;32;0;3;54803;2;2022-11-04
432;20;0;1;84054;9;2018-09-30
759;25;1;0;29286;2;2018-07-16
837;31;0;3;61783;10;2018-12-29
904;40;1;3;89193;9;2018-03-23
174;44;0;4;1078;5;2021-12-27
319;46;1;2;85840;3;2018-08-06
517;44;1;3;11403;3;2019-02-15
529;11;0;5;65215;2;2021-12-06
196;34;0;3;68842;8;2018-10-02
890;0;1;2;1417;9;2021-08-09
973;46;1;0;57484;10;2018-04-03
384;30;0;2;39085;2;2021-10-20
783;19;0;5;97583;4;2020-07-22
58;7;0;3;5264;7;2020-11-05
251;3;1;3;87682;6;2018-02-26
920;19;1;4;54522;5;2020-11-20
108;14;0;0;22058;1;2021-01-07
233;4;1;2;62480;10;2020-05-05
336;19;0;1;68943;8;2019-02-09
392;45;1;4;1739;6;2019-07-29
705;37;1;1;52466;10;2020-03-20
270;49;1;3;88844;8;2018-05-29
71;38;1;4;41567;3;2019-11-10
433;33;1;5;15972;6;2020-11-20
675;2;1;5;26429;6;2019-03-09
443;41;0;3;2220;1;2021-03-07
941;19;0;1;71794;3;2018-05-01
804;7;1;3;3650;9;2022-06-08
432;42;1;5;94550;6;2020-10-08
367;42;1;5;37110;8;2021-08-21
87;38;1;2;62748;5;2020-08-11
853;13;0;3;30239;5;2022-11-28
704;4;0;0;83726;8;2021-02-24
993;11;0;5;27637;4;2022-11-26
546;25;0;2;87391;4;2019-03-19
367;24;1;2;5172;2;2018-12-30
632;16;1;1;82284;4;2021-10-25
426;4;0;1;60671;9;2023-01-28
915;13;1;1;47276;5;2021-05-01
722;11;1;2;25742;8;2020-07-05
644;32;1;4;21928;6;2020-06-07
78;40;1;1;88609;5;2020-08-30
638;7;1;2;61472;4;2019-10-26
311;50;0;3;94160;5;2020-08-15
157;15;1;5;31534;4;2021-12-31
457;31;1;5;21831;2;2020-07-16
980;14;0;3;96902;10;2020-12-11
74;5;1;4;41068;8;2019-03-14
719;26;1;2;83286;4;2020-04-24
119;18;1;5;55495;3;2019-07-12
420;40;1;0;23352;7;2022-06-13
706;39;1;4;59750;4;2019-10-31
352;11;1;4;18190;5;2021-08-31
908;40;0;5;60723;3;2020-03-11
684;50;1;2;39914;1;2022-07-12
150;26;1;2;47147;1;2018-03-26
681;46;0;4;73743;3;2020-10-20
650;39;1;2;36990;5;2020-09-20
174;21;1;0;48560;1;2022-10-27
665;34;0;2;33394;8;2019-05-10
875;16;1;2;84118;7;2022-01-31
699;9;1;2;61225;10;2020-03-15
460;2;0;1;92586;5;2022-01-27
827;23;0;5;58023;6;2022-12-14
459;33;0;5;20065;9;2021-09-08
293;31;0;1;31746;10;2020-06-09
806;23;1;5;44961;5;2021-04-25
381;47;1;0;97606;10;2020-05-14
211;39;1;5;70820;9;2022-04-19
652;20;0;2;61208;1;2019-09-22
296;32;1;5;98409;2;2019-02-12
305;20;1;0;16082;9;2021-07-27
53;19;1;3;40312;10;2021-03-05
353;44;0;1;26640;8;2022-08-24
144;25;0;5;63574;2;2018-04-30
364;32;0;0;77086;4;2019-09-08
783;37;0;2;13010;1;2020-08-01
150;49;1;1;57335;9;2020-03-16
198;4;1;3;40915;3;2021-10-29
962;50;0;4;33119;10;2019-01-04
700;17;1;1;65838;8;2020-04-04
252;6;0;5;3506;10;2019-09-26
86;26;0;0;12214;2;2020-05-16
319;20;0;4;32600;10;2020-04-06
621;37;0;2;72614;10;2021-11-23
54;5;1;0;7331;2;2020-07-04
455;25;0;5;73099;6;2018-09-25
234;37;0;2;59409;1;2019-02-07
692;34;0;5;43121;1;2020-07-02
208;50;1;5;69028;2;2021-06-08
745;28;1;4;89690;3;2020-09-24
846;31;0;2;19189;9;2019-09-29
199;50;1;0;51875;2;2021-02-20
172;8;0;4;30763;1;2019-02-17
792;0;0;4;45725;9;2018-02-07
680;34;1;1;37168;8;2022-04-28
734;38;0;5;92603;7;2018-08-17
983;25;1;4;44502;1;2022-04-11
642;15;1;0;59308;5;2020-04-20
940;50;1;4;94432;5;2020-12-17
744;30;1;3;83114;2;2021-08-26
693;3;0;0;26661;3;2018-07-15
533;8;0;1;47819;4;2019-05-08
286;8;0;1;23720;9;2019-07-10
459;9;0;5;54789;7;2020-11-05
768;29;1;0;86873;10;2021-11-19
914;40;0;1;96007;1;2022-05-05
328;4;1;3;94268;2;2021-08-11
876;1;1;1;88669;5;2021-06-23
91;4;0;4;21475;9;2020-09-08
429;14;0;2;28781;3;2021-03-28
413;41;0;2;67972;9;2018-11-03
377;49;1;4;13598;3;2022-05-24
337;40;1;4;73947;2;2022-10-12
685;11;0;2;58945;2;2021-03-09
581;22;0;5;18829;7;2022-04-15
364;2;0;0;84892;2;2020-05-21
576;14;0;3;85008;3;2022-08-17
961;43;1;3;51069;4;2019-03-01
551;37;0;0;20675;1;2019-11-28
650;5;0;1;51025;1;2019-05-02
580;27;0;2;17373;9;2018-07-22
348;41;1;4;64162;8;2019-12-06
356;21;1;2;65959;4;2020-12-14
457;25;0;4;6671;2;2020-02-03
701;6;0;4;79293;6;2021-11-21
915;8;1;4;74364;8;2019-05-08
669;6;0;1;71705;10;2020-10-30
681;5;1;5;19954;1;2020-05-29
503;49;0;1;62972;5;2021-09-21
237;34;1;4;62564;4;2018-03-30
797;10;1;1;79175;6;2022-11-10
334;48;1;3;63685;8;2022-11-06
116;8;0;4;92808;3;2021-05-29
825;41;1;5;5676;5;2021-07-08
954;17;1;2;68735;6;2019-01-13
975;21;1;3;99837;5;2020-01-08
727;19;0;2;63739;7;2019-11-14
221;37;1;0;71300;5;2020-02-13
616;18;1;1;55548;2;2021-11-22
439;46;1;1;63512;3;2020-08-03
571;39;0;3;31946;5;2022-06-23
648;4;0;1;80449;10;2020-03-26
570;47;1;4;44424;5;2022-09-16
773;50;1;1;94115;6;2019-10-27
642;19;1;3;86384;8;2020-11-06
903;22;0;5;14001;5;2021-07-06
491;42;0;5;54840;3;2019-08-29
215;7;0;1;87982;8;2018-11-16
74;10;1;5;44763;9;2022-10-14
429;45;0;1;98877;8;2019-06-13
124;43;0;4;74678;5;2019-02-13
827;26;1;5;53997;10;2019-05-06
330;37;1;2;96871;3;2019-11-22
363;14;1;1;34146;7;2019-12-01
475;37;1;1;335;1;2019-09-09
621;2;0;2;37414;3;2022-08-22
